Sentiment,SentimentText
positive,@Valrandire2positivepositive2 @foxnewspolitics @AlexPappas @StephenAtHome No convict when it\xe2\x8negative\x99s a crime but don\xe2\x8negative\x99t bring up others.\xe2\x8negative\xa6 https://t.co/2JLlhdKczF'
positive,"via @FoxNewsPolitics On trade policy, Trump is turning GOP orthodoxy on its head https://t.co/bMVJBXVxWt https://t.co/bR4c9UyROa'"
negative,"""@foxnewspolitics @AlexPappas The Manchurian Candidate's dirty deeds are starting to surface- another reason why they want Trump gone."""
negative,@APechtold @foxnewspolitics \nDutch politician peeks to women from penthouse\n#FakeNews'
positive,"""@foxnewspolitics #ChrisWallace really? your father is going to reach out of the grave and slap you. You're unfuckin\xe2\x8negative\xa6 https://t.co/raz2j7RysQ"""
negative,@foxnewspolitics @AlexPappas What\xe2\x8negative\x99s your point? How long has he been out of office? You should report on the current President and Putin!'
negative,@briantashman @foxnewspolitics Nice look.  Advocating Treason and other lawbreaking.  Lemme guess - you ok w kidnapping too?'
positive,@TheDCVince Terrific appearance on @foxnewsnight with powerful position on the @realDonaldTrump successes. I love J\xe2\x8negative\xa6 https://t.co/vMVZJBttEG'
negative,"@thehill OMG!!  Thank you, THANK YOU @realDonaldTrump for finally leaving @Acosta out with the garbage where he bel\xe2\x8negative\xa6 https://t.co/4e8Klk9Ap'"
negative,"@foxnewspolitics @AlexPappas Not paid to terrorist organization, paid to a humanitarian organization. Not President\xe2\x8negative\xa6 https://t.co/CMonrWlVnegativeH'"
negative,"@foxnewspolitics @AlexPappas The money was for providing humanitarian aid, emergency food, water, sanitation, and h\xe2\x8negative\xa6 https://t.co/7wAQiEXsGo'"
positive,"@foxnewspolitics @AlexPappas The money was directed \xe2\x8negative\x9cto help provide humanitarian aid,  emergency food, water, sani\xe2\x8negative\xa6 https://t.co/zO49Oj8o7I'"
negative,Mayor brags about having \xe2\x8negative\x9cblack people\xe2\x8negative\x9d &amp; \xe2\x8negative\x9cpeople of all kinds of foreign things\xe2\x8negative\x9d\n\nhttps://t.co/Lr9cvunegativeG5t\xe2\x8negative\xa6\xe2\x8negative\xa6 https://t.co/jtJwioDHKP'
positive,@cullinan_jim @foxnewspolitics @AlexPappas This guy lives in a fantasy world'
positive,"@amytotheworld @foxnewspolitics @AlexPappas Obama administration funded an Evangelical Christian charity, World Vis\xe2\x8negative\xa6 https://t.co/3XhdK6IaWP'"
negative,"""@blueirisnj @foxnewspolitics @AdamShawNY Our country's inspectors said Iran was in compliance too.  Trump just want\xe2\x8negative\xa6 https://t.co/Nf9ztBG9positiveK"""
negative,@blueirisnj @foxnewspolitics @AdamShawNY By the way I never voted for Obama but I dont think it is right to see Tru\xe2\x8negative\xa6 https://t.co/yDXsAZfw7'
negative,@realDonaldTrump At least the Democrats and no other Republicans for that matter created a human rights crisis by k\xe2\x8negative\xa6 https://t.co/DpZpositiveUrWXHh'
positive,@blueirisnj @foxnewspolitics @AdamShawNY No matter how bad GOP paints Obama Trump is horrible. His administration t\xe2\x8negative\xa6 https://t.co/yUp6VTKSqk'
positive,@DuhartKimberlie @foxnewspolitics @AdamShawNY That deal OB did did not have OK from congress which is required.'
negative,"@foxnewspolitics A great time for the hapless U.N., it\xe2\x8negative\x99s called restructuring.   Eliminate the worthless anti-Ameri\xe2\x8negative\xa6 https://t.co/ag2RkUgwIQ'"
negative,@foxnewspolitics @AlexPappas Thanks you fox News is totally fake news'
positive,"""@foxnewspolitics Student loans can be deferred and/or waived by 'unable to work' note/form from doctors....they're\xe2\x8negative\xa6 https://t.co/EZdPzqatzD"""
positive,@foxnewspolitics Maybe they should change their spending habits.'
negative,@MaggieEarly2 @foxnewspolitics @AlexPappas @BarackObama Oh bless your heart you\xe2\x8negative\x99re sweet'
positive,"@realDonaldTrump LOL Trump the Russian POTUS. OK for Russia to attack us, PUBLIC SPEECH.  People support Russia ove\xe2\x8negative\xa6 https://t.co/9Xx7nUoE35'"
negative,@foxnewspolitics @AdamShawNY @BenEvansky Throw the UN out of this country use the money to help our vets and turn t\xe2\x8negative\xa6 https://t.co/Pl4OqKAxeo'
negative,@positive9kfish @LarryBr22negative44negative47 @foxnewspolitics @AlexPappas Lol. After Clinton signed the final nafta agreement and jobs\xe2\x8negative\xa6 https://t.co/positivepIF4FanegativeIJ'
negative,"""Anyone notice GOP about money? Trump calling a free press the enemy doesn't matter? GOP is an American party?\xe2\x8negative\xa6 https://t.co/RRt7Qz2ndX"""
negative,@positive9kfish @LarryBr22negative44negative47 @foxnewspolitics @AlexPappas Keep telling yourself that...  maybe you will believe it..'
negative,"@foxnewspolitics @K_Schallhorn So I guess we are paying for Mueller\xe2\x8negative\x99s damn flight, TOO?! This needs to end!! He\xe2\x8negative\x99s o\xe2\x8negative\xa6 https://t.co/cQ7Z9iOeLp'"
negative,Funny how GOP forgot money not as important as freedom and principles for Americans. Disagree? Look at Trump. @GOP\xe2\x8negative\xa6 https://t.co/tiwtQiGQgQ'
negative,@positive9kfish @LarryBr22negative44negative47 @foxnewspolitics @AlexPappas I never voted for obsma. Voted against him. Saved the econom\xe2\x8negative\xa6 https://t.co/4iT2iGrFlw'
negative,"""@positive9kfish @purplepepsigirl @foxnewspolitics @AlexPappas If Trump would not have cut taxes there wouldn't be any jobs for employment"""
negative,"@positive9kfish @LarryBr22negative44negative47 @foxnewspolitics @AlexPappas Lol. No,  you misquoted our President. And then stated he li\xe2\x8negative\xa6 https://t.co/25H9NEgZSc'"
negative,@purplepepsigirl @LarryBr22negative44negative47 @foxnewspolitics @AlexPappas So you voted for Obama in 2negativepositive2 because he saved our\xe2\x8negative\xa6 https://t.co/hIYAGHmCpositive2'
negative,@positive9kfish @LarryBr22negative44negative47 @foxnewspolitics @AlexPappas What Barack Obama called impossible to do for 8 yrs\n\nDonald\xe2\x8negative\xa6 https://t.co/6IfKKPLjQv'
positive,"@positive9kfish @LarryBr22negative44negative47 @foxnewspolitics @AlexPappas Well, no.He said African American unemployment is the lowest\xe2\x8negative\xa6 https://t.co/NIIflY2fCT'"
positive,@foxnewspolitics @AlexPappas Looks like we had a Fox in the hen house for 8 years!'
negative,@CNNPolitics Deal made in the secret meeting with Putin in Helsinki? A vote for the Trump led GOP a vote for Putin\xe2\x8negative\xa6 https://t.co/lsP4EavQyK'
negative,@foxnewspolitics Time to pony up UN. \xfnegative\x9f\x87\xba\xfnegative\x9f\x87\xb8 USA Piggy bank closed. It\xe2\x8negative\x99s about time. Bunch of countries with alligator arms.'
positive,@realDonaldTrump Trump. SO incompetent he could not get children he took from their parents back to their parents.\xe2\x8negative\xa6 https://t.co/o8oXjuQBCd'
negative,@foxnewspolitics @AlexPappas boy he sure loved throwing OUR money around.'
positive,@foxnewspolitics @AlexPappas He\xe2\x8negative\x99s laughing at all the Demorats who voted for him / he was never for We The People/&amp; now lives in a mansion'
negative,@foxnewspolitics is anyone else NOT surprised the @UN #UN is running out of money or that @BarackObama admin grante\xe2\x8negative\xa6 https://t.co/WPWD4PNjvm'
negative,@foxnewspolitics @AlexPappas Where is the outrage from the liberal Democrats over the hideous things accomplished b\xe2\x8negative\xa6 https://t.co/8positive6L8Hk6hU'
positive,@foxnewspolitics @AlexPappas Sounds like a tricky situation. The payment was \xe2\x8negative\x9cfor humanitarian assistance work alre\xe2\x8negative\xa6 https://t.co/WjXdYK3AxM'
positive,@foxnewspolitics @AlexPappas More stories for you to run so you can get away from your obsession with @potus\xe2\x8negative\xa6 https://t.co/94DUT4rBtp'
negative,@foxnewspolitics What do they spend their money on?'
negative,"""@RisingFlorida @foxnewspolitics Man I have had over 2negative heart attacks and I don't work I'm retired and don't ask nob\xe2\x8negative\xa6 https://t.co/HtgIwpwGw7"""
negative,@foxnewspolitics @AlexPappas Stop such revelations.  How can the liberal media make him a legend when you keep tell\xe2\x8negative\xa6 https://t.co/Ji5eJ55AFp'
positive,"Will the House GOP take back the BOGUS Nunes report (or at least go after Junior for perjury), or will they let his\xe2\x8negative\xa6 https://t.co/NIraLloppositiveR'"
positive,"""@foxnewspolitics Maybe if they stopped spending it on whores and drugs they wouldn't have this problem....get the U\xe2\x8negative\xa6 https://t.co/htt5IBTj8C"""
negative,"""@foxnewspolitics Hopefully, we won't throw any more money at this organization. We put in more than enough."""
positive,"@positive9kfish @purplepepsigirl @foxnewspolitics @AlexPappas Our economy is doing great, unemployment is the best in hist\xe2\x8negative\xa6 https://t.co/4Kv4GyRMmp'"
negative,@positive9kfish @LarryBr22negative44negative47 @foxnewspolitics @AlexPappas And you are wrong- yet again!  I watch the hearings and comm\xe2\x8negative\xa6 https://t.co/CpositiveGDUTA3A'
negative,"""@saef_aljanabee @foxnewspolitics @AlexPappas As if CNN fake news will stop talking about trump once he's finished b\xe2\x8negative\xa6 https://t.co/positivea6IpositiveQQhm3"""
positive,@positive9kfish @LarryBr22negative44negative47 @foxnewspolitics @AlexPappas Lol- stop watching CNN... dossier has been proven false and\xe2\x8negative\xa6 https://t.co/U8rKnegativejaV3q'
negative,@rdconte55 @foxnewspolitics @AlexPappas Not quite as low as paying off women he cheated on his wife with... how man\xe2\x8negative\xa6 https://t.co/YVPjEm5PDr'
negative,"@foxnewspolitics @AlexPappas Pro muslim, pro muslim brotherhood, pro antifa, pro socialist.  What a guy.'"
negative,"@Waphilliespositive @foxnewspolitics @AlexPappas If you remember correctly, President Obama sought and caught the most wan\xe2\x8negative\xa6 https://t.co/QhdkdZGPre'"
positive,"@Shasha44373856 @foxnewspolitics @AlexPappas The Muslims do bad too, how many Christians are hiding children in the\xe2\x8negative\xa6 https://t.co/hnS3YwmzwN'"
negative,@foxnewspolitics @AlexPappas B.O. should be held accountable and pay back OUR money to us!'
negative,"@purplepepsigirl @foxnewspolitics @AlexPappas Yes, seriously. Most of us live in the real world where Obama was a m\xe2\x8negative\xa6 https://t.co/6pySX6dnegativeEw'"
negative,@foxnewspolitics @brookefoxnews I\xe2\x8negative\x99m trying to understand why Cohen has turned on POTUS also what lawyer records his\xe2\x8negative\xa6 https://t.co/Gnrsoib4xV'
positive,@reallynotdonald @foxnewspolitics @AlexPappas Delusional.  Stop watching CNN.'
positive,@danieltredinnipositive @foxnewspolitics @AlexPappas @BarackObama Correction: it\xe2\x8negative\x99s traitor and he\xe2\x8negative\x99s sitting in the WH as w\xe2\x8negative\xa6 https://t.co/Di7sGKxJbd'
negative,@foxnewspolitics Thanks to this president and guidance from God we as a nation are back on track MAGA a deplorable\xe2\x8negative\xa6 https://t.co/xsGokHXsyn'
positive,@foxnewspolitics @AdamShawNY @BenEvansky The time has come for an independent review of the time @antonioguterres l\xe2\x8negative\xa6 https://t.co/t5ResiQJPX'
positive,@ejvettepositive955 @foxnewspolitics @AlexPappas Probably not... they report the real news.....I\xe2\x8negative\x99m sure you can find it on YouTube.......'
negative,"@GOP Trump: A free press is the enemy. Rather be a Dem than a member of the Trump led GOP, a vote for which is a vo\xe2\x8negative\xa6 https://t.co/MYWhzZih7R'"
positive,"""@foxnewspolitics @AlexPappas For God's sake, this is reaching. How about all the financial shenanigans surrounding\xe2\x8negative\xa6 https://t.co/i2Sh8bD2jA"""
negative,@foxnewspolitics @AlexPappas **folks the *Islamic muslim terror group called Obama democrats--*need to be apprehend\xe2\x8negative\xa6 https://t.co/PFrWlgh3wz'
negative,"@foxnewspolitics I bet John Brennan had something to do with it, just as he did with letting Hezbollah terrorists off the hook.'"
negative,@foxnewspolitics @AlexPappas Is Trump running against Obama? Or just another diversion from current failures? Sound\xe2\x8negative\xa6 https://t.co/4CMegOE9qX'
negative,@foxnewspolitics @AlexPappas God only knows how much money was sent to Muslims. Who authorized it. We need to see names and faces.'
positive,@foxnewspolitics After dems take the house &amp; senate in November they will raise taxes to pay for UN'
positive,"@foxnewspolitics @AlexPappas @BarackObama , My President Forever.  @realDonaldTrump is a cancer on the soul of America.'"
negative,"""@foxnewspolitics @AlexPappas **why hasn't the *muslim terrorist spy Obama *been arrested for treason-theft of us ta\xe2\x8negative\xa6 https://t.co/7HnegativeLBWKheJ"""
negative,"""@foxnewspolitics @AlexPappas I'm sure CNN will be right on this story \xfnegative\x9f\x98\x82"""
positive,via @FoxNewsPolitics Obama administration approved $2negativenegativeG grant to group with Al Qaeda ties https://t.co/Jfve3vKnDW https://t.co/3tebkWJShJ'
positive,@WaveHombre @InmanColby @foxnewspolitics @realDonaldTrump I hate to break it to you but this means nothing.'
negative,"""@realDonaldTrump Does he think it is America's fault if Russia attacks U.S. Like Trump does? A vote for the Trump l\xe2\x8negative\xa6 https://t.co/7nla4lqG8negative"""
positive,"@atDavidHoffman Shep tells the truth and sometimes Wallace as well, but yeah - it\xe2\x8negative\x99s a drop in the bucket.  \xfnegative\x9f\xa4\xa2@foxnewspolitics'"
positive,@foxnewspolitics @K_Schallhorn This is news worthy! High school drama stuff'
positive,"""via @FoxNewsPolitics Chuck Schumer asks George W. Bush to release Kavanaugh's White House records\xe2\x8negative\xa6 https://t.co/bTzTuv6Inegative"""
negative,"@foxnewspolitics @K_Schallhorn @FoxNews Is  #TraitorTot calling Daddy? \xfnegative\x9f\x8e\xbcBad boys, bad boys, whatcha gonna do when Mueller comes for you \xfnegative\x9f\xa4\xa3\xfnegative\x9f\xa4\xa3'"
negative,"""@xwy3negative9positivenegative783 @foxnewspolitics @K_Schallhorn @DonaldJTrumpJr Nice handle, person who's definitely real."""
positive,@foxnewspolitics @K_Schallhorn big deal. the anger i have is I AM PAYING FOR MUELLERS FLIGHT.'
negative,@foxnewspolitics @K_Schallhorn Unless Mueller arrested Don Jr for lying about meeting with the Russians - nobody cares !'
positive,"@foxnewspolitics @K_Schallhorn As Old Jungle Sayings go:\n\n""There are times when the Phantom leaves the jungle and w\xe2\x8negative\xa6 https://t.co/M7LHx9eOQo'"
negative,@foxnewspolitics @AdamShawNY @BenEvansky Tell other members to pay their commitments in full before coming with out\xe2\x8negative\xa6 https://t.co/BRnegativemlD2YpP'
positive,@foxnewspolitics @maximlott Goes to show how close western civilization is to total collapse. Another civil war in\xe2\x8negative\xa6 https://t.co/m29GiJROs7'
negative,@foxnewspolitics No more money for insane dishonest UN!!!'
negative,"@foxnewspolitics Cease all funding to the UN, and politely ask them to get out of New York. They consistently work\xe2\x8negative\xa6 https://t.co/8epNMCLR2Z'"
positive,@foxnewspolitics Perhaps these foreign state welfare elites will have to go home instead of living the high life in\xe2\x8negative\xa6 https://t.co/hCUNHawMJx'
negative,"""@foxnewspolitics @AdamShawNY He's really desperate to talk to Putin. Makes me think Putin cut him off. He looked de\xe2\x8negative\xa6 https://t.co/7DV6SwyPrW"""
negative,@foxnewspolitics @maximlott I liked the article right up to when you mentioned Gabby Giffords. Her attacker did not\xe2\x8negative\xa6 https://t.co/OrlPHo8Zya'
negative,foxnewspolitics Well...when money gets pissed away that tends to happen'
positive,"""@foxnewspolitics Welcome to global scale socialism. Even the UN can't make it work."""
negative,@foxnewspolitics Americans should ignore the plight of the UN. Let it go broke. Americans will not deny world needs\xe2\x8negative\xa6 https://t.co/zQlrCKO7mr'
positive,@foxnewspolitics No great loss. UN needs to be desolved. Complete waste of money.'
negative,"@foxnewspolitics This is great news UN running out of cash couldn't have happen to a more deserving organization."""""""
negative,@foxnewspolitics Try getting money from all of the deadbeat countries. Just like NATO deadbeats. The USA taxpayers\xe2\x8negative\xa6 https://t.co/positive6sHvpositiveTHct'
negative,@foxnewspolitics Let them go broke the U.S. should not par one more cent.'
negative,@foxnewspolitics @AdamShawNY @BenEvansky Why no mention about Trump knowing about the meeting with the Russians?'
positive,"""@GOP @parscale From the GOP: A good economy is worth submission to Russia and a loss of freedom. I'm an American, F\xe2\x8negative\xa6 https://t.co/HutWjbWGCI"""
negative,@foxnewspolitics The liberal media is having a struggle turning this great news into a negative. go Trump'
negative,@foxnewspolitics @AdamShawNY @BenEvansky We keep trying to save the world but no one wants to help us'
negative,@foxnewspolitics @AdamShawNY @BenEvansky Oh boo hoo.   Maybe European allies need to pony up what they owe.'
negative,@foxnewspolitics @AdamShawNY @BenEvansky The UN has been taken over by the terrorists it was formed 2 fight. The US\xe2\x8negative\xa6 https://t.co/Dbpositive8sG6hzA'
negative,@foxnewspolitics @AdamShawNY @BenEvansky The UN can go straight to hell. No money for the diabolical UN&gt;'
negative,"""@foxnewspolitics @AdamShawNY @BenEvansky I wonder why they're running out of money we were supportedit all this tim\xe2\x8negative\xa6 https://t.co/positivesfHs2wZAp"""
negative,"""@foxnewspolitics @AdamShawNY @BenEvansky Too bad. Another swamp full of graft and corruption that doesn't deserve a\xe2\x8negative\xa6 https://t.co/mA2RUhMkTf"""
negative,via @FoxNewsPolitics RNC could result in shortage of police as Charlotte officers contemplate early retirement ahea\xe2\x8negative\xa6 https://t.co/EPPBdWc8ey'
negative,"""@foxnewspolitics @AdamShawNY @BenEvansky OH NO!!! That's terrible maybe they'll have to fly positivest class too."""
negative,Don\xe2\x8negative\x99t hire women who might get pregnant. Or fat people\n\nThis was Mayor Thomas\xe2\x8negative\x99 response to Police Chief asking for\xe2\x8negative\xa6 https://t.co/VxQtmaBc75'
positive,@foxnewspolitics @AdamShawNY @BenEvansky We pulled our money out and it is folding like an old house of cards. This\xe2\x8negative\xa6 https://t.co/OAJKRWblLe'
positive,"""@foxnewspolitics @AdamShawNY @BenEvansky Ask the Palestinians to support you. I'm sick of it."""
positive,"@foxnewspolitics @AdamShawNY @BenEvansky In other words: Hey ""p""donny write us a welfare check like you did for you\xe2\x8negative\xa6 https://t.co/GS7BcFGkcS'"
negative,@foxnewspolitics @AdamShawNY @BenEvansky Did Trump pay it ? If not the world should be all over him ? Right ?'
negative,@foxnewspolitics @AdamShawNY @BenEvansky The UN has done nothing for so long they now need more money to plan to do\xe2\x8negative\xa6 https://t.co/negativenegative5bURwPGo'
negative,"""RT Hope this is not true...They can't stop Hannity from telling the truth...@foxnewspolitics https://t.co/Kq7BUOqspT"""
negative,@ShepNewsTeam Is this the same stance you all took when OBAMA kicked out a reporter? (And the media applauded)...th\xe2\x8negative\xa6 https://t.co/njv2ep3XVZ'
positive,@foxnewspolitics @maximlott Someone better get this under control. DOJ must start doing their job and arrest people\xe2\x8negative\xa6 https://t.co/positive8reS68fW7'
negative,@sherry5negativewaldie @wvmtnma @foxnewspolitics @AdamShawNY What does cnn have to do with anything we are talking about?\xe2\x8negative\xa6 https://t.co/cIpAGU7EYp'
negative,@wvmtnma @TLO555 @foxnewspolitics @AdamShawNY No they don\xe2\x8negative\x99t but I watched a CNN producer set up a scripted so calle\xe2\x8negative\xa6 https://t.co/v2ybJiRwa3'
positive,"""@foxnewspolitics @AdamShawNY I'm sure he is. Let him for what he pleases with the short amount of time he has left"""
negative,@sherry5negativewaldie @foxnewspolitics @AdamShawNY We all watched it sherry.'
positive,@TLO555 @foxnewspolitics @AdamShawNY There is no evidence of a betrayal not an iota just in your hopes and dreams o\xe2\x8negative\xa6 https://t.co/Ppositivepn6zBnc8'
negative,@foxnewspolitics @maximlott Could Sen Bookers call to get in the face of evil if the person supports conservative p\xe2\x8negative\xa6 https://t.co/rOxWUsEYYu'
negative,@foxnewspolitics @AlexPappas @ChadPergram @FoxNews congratulations hope u get it'
negative,@foxnewspolitics @maximlott Violence and threats of violence should never happen. The reason for it is because of t\xe2\x8negative\xa6 https://t.co/negativenamRatC5s'
negative,"@foxnewspolitics @maximlott So, Rep. Schiff says it\'s the ""reckless hyperbole"" coming from the right that has made\xe2\x8negative\xa6 https://t.co/RokzcIKybd'"
negative,@JasonHalle it\xe2\x8negative\x99s called @GOP @WhiteHouse @VP @POTUS @foxnewspolitics'
positive,@JohnJHarwood read this the truth matters @WhiteHouse @VP @POTUS @foxnewspolitics'
negative,@CNNPolitics Is this the same @RepJasonLewis Who complained about not being able 2call women sluts? @GOP @HouseGOP\xe2\x8negative\xa6 https://t.co/4BpLr8uWq'
positive,@foxnewspolitics @maximlott Yeah Lord forbid we start looking at the big picture again and stop thinking with such\xe2\x8negative\xa6 https://t.co/OT9NvgLlQV'
negative,"@foxnewspolitics @maximlott Do you also cover the threats against democratic lawmakers, such as @RepMaxineWaters, o\xe2\x8negative\xa6 https://t.co/EbiZuvgG49'"
negative,@foxnewspolitics @brookefoxnews hey mike you got enuff money to last the rest of your life ?????   ARF ARF ARF'
positive,"@JayWedel @foxnewspolitics ""Second-quarter economic growth came in at an annual rate of 4.positive%, the government said F\xe2\x8negative\xa6 https://t.co/vFhn7negativeS3PL'"
negative,@foxnewspolitics @maximlott Your organization is a disservice to Americans.'
negative,foxnewspolitics @maximlott Far-left extremism is the greatest threat our country faces! https://t.co/mq39foFs4K'
positive,My Tweeted Times https://t.co/MLSqaQCzb5 - top stories by @foxnewspolitics
positive,#FoxNews practices extreme hypocrisy. Always quick to point out sexual accusations against public personalities but\xe2\x8negative\xa6 https://t.co/ZNEPFXwEbO'
positive,@foxnewspolitics @AdamShawNY Gotta get a new strategy since #HelsinkiSummit wasn\xe2\x8negative\x99t the hit they expected!? #TraitorTrump'
positive,"@foxnewspolitics @AdamShawNY Of course. When you boss calls, you go. No question about it.'"
negative,"""Retweeted Fox News Politics (@foxnewspolitics):\n\nTrump 'open' to visiting Moscow for meeting with Putin\xe2\x8negative\xa6 https://t.co/Anegatives2539rpositiveQ"""
negative,"What I do not understand is ""If meddling from a foreign national is so bad, why is there not MATCHING #backlash abo\xe2\x8negative\xa6 https://t.co/bnegativeZRtWGGUh'"
negative,"""via @FoxNewsPolitics Trump 'open' to visiting Moscow for meeting with Putin https://t.co/2cZouBouIz https://t.co/Ogng6NXC2r"""
negative,@SenateMajLdr @realDonaldTrump @GOP @GOPChairwoman @foxnewspolitics  @FoxNews  @cvpayne And lower unemployment also\xe2\x8negative\xa6 https://t.co/xZVZreyyff'
positive,via @FoxNewsPolitics German meddling in U.S. politics and Trump foreign policy triggers sharp rebuke from GOP Senat\xe2\x8negative\xa6 https://t.co/9KNKBwtKsq'
negative,@foxnewspolitics @brookefoxnews He said she said guess who is who'
negative,I see justice for DT ....I see Lorena Bobbitt all over again!! @cnn @foxnewspolitics https://t.co/nl54SSrEiO'
